devId,_month,BMS_PCB_board_surface_temperature,Battery_control,Battery_status,Cell_series_numbe_23_series,Internal_temperature_of_battery,Location_type,Mileage,Number_of_cycles,SOC,Speed_information,Surface_temperature_in_the_middle_of_cells,Total_charged_capacity,Total_current,Total_discharged_capacity,Total_voltage,alarmDesc,alarmFlag,times_100_of_battery_capacity,Maximum_Charge_Current,Nominal_Capacity,Total_charge_protect_voltage,total_cell_voltage
BGU9109,8,30.761904761904763,4.0,0.0,24.0,30.75,5.0,3534.0,59.0,79.0,0.0,31.35,1717.0,0.0,1732.6666666666667,7993.55,0.0,0.0,2201.0,40.0,29.0,8328.0,2696.7036144578315
BGU9109,9,33.161524261603375,0.0,0.0,24.0,18.777040218664585,1.0,3212.95432497979,4446.305217391305,63.25422950819672,6.2208972729938425,132350181980.3566,2525.5058343057176,682.176802507837,2533.0969626168226,6968.083581621452,0.0,0.0,1883.4317626527047,66.29916191534201,55.46141397629751,8213.905971429034,4997242373.751013
BGU9110,8,29.11111111111111,4.0,2.0,24.0,26.33333333333333,5.0,7993.0,134.0,59.0,0.0,27.88888888888889,3897.0,0.0,3902.0,7929.111111111111,0.0,0.0,1654.0,40.0,29.0,8328.0,2517.333333333333
BGU9110,9,34.0392408309823,0.0,0.0,24.0,19.863188499434663,5.0,6721.8279932546375,4424.37217724755,75.03975042063936,5.794588625069022,115521119184.25264,3873.745782098942,660.3244680851063,3884.722746781116,7029.514598540146,0.0,0.0,2264.993530813756,90.2534229249012,79.4745642063969,8217.312427555527,3859771505.988876
BGU9111,8,29.166666666666668,4.0,0.0,24.0,28.58620689655172,5.0,7974.0,136.0,31.0,0.0,28.41379310344828,3964.0,0.0,3952.0,7901.448275862069,0.0,0.0,871.5263157894736,40.0,29.0,8328.0,2588.5689655172414
BGU9111,9,32.57195865359131,0.0,0.0,24.0,19.717367050948308,1.0,6944.835106382979,4365.580111683848,62.70863696850643,7.935537649347041,118228891934.144,3887.507612754956,667.9998420221169,3894.061529614721,6952.752251540528,0.0,0.0,1883.0530851430544,90.43169932027187,79.61837851678776,8216.536885635516,3968270431.765408
BGU9112,8,27.852941176470587,4.0,2.0,24.0,26.147058823529413,5.0,6719.0,105.0,100.0,0.0,25.44117647058824,3045.0,0.0,3074.0,8012.323529411765,0.0,0.0,2905.9411764705883,40.0,29.0,8328.0,2464.9947275922677
BGU9112,9,33.74397859054416,0.0,0.0,100.0,18.63042176870748,1.0,6388.103780897425,5598.512944592306,71.21681532497836,11.180466159547494,53122299406.54557,3320.928967813541,611.7691384369165,3331.7024118738404,7106.530949839915,0.0,0.0,2326.456369107322,66.14011146041726,55.30635803719279,8238.57814362424,2031089453.9392204
BGU9113,8,40.79545454545455,4.0,2.0,24.0,34.79545454545455,5.0,1733.0,39.0,100.0,0.0,37.45454545454545,1131.0,0.0,1160.0,8188.113636363636,0.0,0.0,2926.521739130435,40.0,29.0,8328.0,2341.950248756219
BGU9113,9,32.15037194473964,0.0,0.0,24.0,19.623649399171967,5.0,1719.1717201166182,4290.531527430002,71.81294214014446,4.317105581058227,112365617558.86607,2134.282806804374,625.7233343759775,2143.9890510948903,7076.588704630789,0.0,0.0,2165.4619506966774,59.27420778965957,48.48125245386729,8222.73131981259,3971103491.041917
BGU9114,8,25.97222222222222,4.0,0.0,24.0,24.666666666666668,5.0,7251.0,123.0,36.0,0.0,24.58333333333333,3585.0,0.0,3577.0,7902.25,0.0,0.0,1017.7142857142856,40.0,29.0,8328.0,2239.618083670716
